"","x"
"1",1
"2",1
"3",2
"4",1
"5",1
"6",9
"7",2
"8",1
"9",4
"10",32
"11",2
"12",2
"13",1
"14",2
"15",3
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",10
"23",1
"24",49
"25",1
"26",3
"27",2
"28",1
"29",2
"30",3
"31",1
"32",3
"33",1
"34",2
"35",5
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",2
"44",52
"45",1
"46",1
"47",1
"48",3
"49",1
"50",1
"51",1
"52",2
"53",1
"54",2
"55",5
"56",2
"57",1
"58",1
"59",1
"60",1
"61",1
"62",2
"63",2
"64",2
"65",1
"66",1
"67",1
"68",57
"69",1
"70",16
"71",3
"72",1
"73",1
"74",14
"75",21
"76",1
"77",3
"78",1
"79",2
"80",1
"81",50
"82",2
"83",19
"84",3
"85",1
"86",1
"87",4
"88",4
"89",7
"90",6
"91",3
"92",1
"93",2
"94",4
"95",2
"96",1
"97",1
"98",1
"99",3
"100",1
"101",14
"102",2
"103",2
"104",1
"105",2
"106",49
"107",1
"108",1
"109",11
"110",1
"111",2
"112",1
"113",1
"114",1
"115",1
"116",1
"117",2
"118",2
"119",1
"120",6
"121",18
"122",1
"123",1
"124",1
"125",3
"126",1
"127",1
"128",1
"129",5
"130",1
"131",2
"132",2
"133",1
"134",25
"135",2
"136",3
"137",1
"138",1
"139",3
"140",1
"141",14
"142",1
"143",4
"144",1
"145",1
"146",5
"147",11
"148",3
"149",3
"150",8
"151",2
"152",1
"153",55
"154",1
"155",43
"156",1
"157",37
"158",2
"159",1
"160",2
"161",3
"162",2
"163",1
"164",1
"165",1
"166",9
"167",1
"168",10
"169",3
"170",100
"171",1
"172",1
"173",2
"174",1
"175",1
"176",27
"177",4
"178",1
"179",2
"180",1
"181",6
"182",1
"183",1
"184",1
"185",2
"186",1
"187",1
"188",5
"189",51
"190",1
"191",1
"192",3
"193",18
"194",11
"195",42
"196",1
"197",4
"198",1
"199",8
"200",1
"201",1
"202",1
"203",108
"204",1
"205",2
"206",5
"207",1
"208",4
"209",1
"210",1
"211",1
"212",1
"213",1
"214",2
"215",2
"216",1
"217",10
"218",5
"219",1
"220",36
"221",2
"222",6
"223",9
"224",40
"225",18
"226",2
"227",1
"228",53
"229",7
"230",1
"231",1
"232",2
"233",3
"234",2
"235",3
"236",2
"237",1
"238",1
"239",3
"240",2
"241",1
"242",1
"243",1
"244",1
"245",2
"246",4
"247",1
"248",1
"249",8
"250",1
"251",1
"252",12
"253",3
"254",1
"255",3
"256",1
"257",3
"258",1
"259",1
"260",4
"261",1
"262",4
"263",1
"264",1
"265",1
"266",1
"267",1
"268",3
"269",1
"270",1
"271",1
"272",1
"273",2
"274",2
"275",1
"276",1
"277",41
"278",1
"279",1
"280",54
"281",384
"282",2467
"283",3
"284",1
"285",1
"286",1
"287",7
"288",33
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",6
"296",6
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",2
"305",13
"306",4
"307",1
"308",625
"309",1
"310",1
"311",3
"312",1
"313",6
"314",2
"315",1
"316",1
"317",4
"318",1
"319",17
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",4
"327",6
"328",32
"329",1
"330",1
"331",2
"332",1
"333",1
"334",2
"335",8
"336",3
"337",172
"338",2
"339",1
"340",2
"341",2
"342",10
"343",1
"344",267
"345",1
"346",1
"347",1
"348",2
"349",27
"350",1
"351",2
"352",2
"353",208
"354",1
"355",2
"356",1
"357",2
"358",1
"359",1
"360",1
"361",37
"362",2
"363",8
"364",1
"365",1
"366",4
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",5
"375",3
"376",3
"377",3
"378",2
"379",8
"380",2
"381",1
"382",1
"383",3
"384",7
"385",2
"386",1
"387",28
"388",1
"389",1
"390",1
"391",43
"392",9
"393",1
"394",1
"395",1
"396",1
"397",10
"398",1
"399",1
"400",5
"401",10
"402",9
"403",2
"404",2
"405",13
"406",1
"407",2
"408",3
"409",1
"410",2
"411",4
"412",3
"413",2
"414",6
"415",1
"416",1
"417",1
"418",5
"419",1
"420",8
"421",1
"422",14
"423",1
"424",10
"425",2
"426",2
"427",1
"428",2
"429",3
"430",3
"431",2
"432",1
"433",6
"434",1
"435",1
"436",2
"437",21
"438",1
"439",1
"440",1
"441",1
"442",2
"443",3
"444",1
"445",1
"446",1
"447",1
"448",1
"449",3
"450",1
"451",1
"452",1
"453",1
"454",13
"455",1
"456",13
"457",1
"458",2
"459",96
"460",1
"461",1
"462",1
"463",4
"464",1
"465",1
"466",1
"467",1
"468",4
"469",12
"470",24
"471",14
"472",5
"473",1
"474",3
"475",1
"476",5
"477",3
"478",14
"479",1
"480",1
"481",1
